MatchId,BotType,Result,TimeMs,TotalClicks
556,RandomBot,DEFEAT,0,2
557,RandomBot,DEFEAT,0,1
558,RandomBot,DEFEAT,0,9
559,RandomBot,DEFEAT,0,4
560,RandomBot,DEFEAT,0,3
561,RandomBot,DEFEAT,0,3
562,RandomBot,DEFEAT,0,5
563,RandomBot,DEFEAT,0,2
564,RandomBot,DEFEAT,0,7
565,RandomBot,DEFEAT,0,8
566,RandomBot,DEFEAT,0,3
567,RandomBot,DEFEAT,0,3
568,RandomBot,DEFEAT,0,6
569,RandomBot,DEFEAT,0,3
570,RandomBot,DEFEAT,0,1
571,RandomBot,DEFEAT,0,6
572,RandomBot,DEFEAT,0,3
573,RandomBot,DEFEAT,0,3
574,RandomBot,DEFEAT,0,3
575,RandomBot,DEFEAT,0,3
576,RandomBot,DEFEAT,0,4
577,RandomBot,DEFEAT,0,6
578,RandomBot,DEFEAT,0,3
579,RandomBot,DEFEAT,0,2
580,RandomBot,DEFEAT,0,2
581,RandomBot,DEFEAT,0,4
582,RandomBot,DEFEAT,0,3
583,RandomBot,DEFEAT,0,2
584,RandomBot,DEFEAT,0,4
585,RandomBot,DEFEAT,0,4
586,RandomBot,DEFEAT,0,5
587,RandomBot,DEFEAT,0,10
588,RandomBot,DEFEAT,0,4
589,RandomBot,DEFEAT,0,5
590,RandomBot,DEFEAT,0,7
591,RandomBot,DEFEAT,0,2
592,RandomBot,DEFEAT,0,7
593,RandomBot,DEFEAT,0,2
594,RandomBot,DEFEAT,0,2
595,RandomBot,DEFEAT,0,5
596,RandomBot,DEFEAT,0,4
597,RandomBot,DEFEAT,0,2
598,RandomBot,DEFEAT,0,2
599,RandomBot,DEFEAT,0,6
600,RandomBot,DEFEAT,0,6
601,RandomBot,DEFEAT,0,3
602,RandomBot,DEFEAT,0,6
603,RandomBot,DEFEAT,0,4
604,RandomBot,DEFEAT,0,6
605,RandomBot,DEFEAT,0,2
606,RandomBot,DEFEAT,0,1
607,RandomBot,DEFEAT,0,1
608,RandomBot,DEFEAT,0,3
609,RandomBot,DEFEAT,0,8
610,RandomBot,DEFEAT,0,7
611,RandomBot,DEFEAT,0,6
612,RandomBot,DEFEAT,0,5
613,RandomBot,DEFEAT,0,3
614,RandomBot,DEFEAT,0,4
615,RandomBot,DEFEAT,0,5
616,RandomBot,DEFEAT,0,3
617,RandomBot,DEFEAT,0,3
618,RandomBot,DEFEAT,0,3
619,RandomBot,DEFEAT,0,5
620,RandomBot,DEFEAT,0,3
621,RandomBot,DEFEAT,0,2
622,RandomBot,DEFEAT,0,4
623,RandomBot,DEFEAT,0,9
624,RandomBot,DEFEAT,0,1
625,RandomBot,DEFEAT,0,5
626,RandomBot,DEFEAT,0,2
627,RandomBot,DEFEAT,0,8
628,RandomBot,DEFEAT,0,6
629,RandomBot,DEFEAT,0,1
630,RandomBot,DEFEAT,0,3
631,RandomBot,DEFEAT,0,3
